30155	1025
30189	962
31369	27
31403	397
31437	401
31471	26
31506	92
31975	28
32043	1285
32077	27
33318	5727
33352	526
35280	523
35852	5607
35886	6179
36424	368
36961	2068
37737	37
38162	852
38734	656
38768	521
39330	16
39364	11
39432	506
39466	255
39500	207
39949	3
39983	1427
40017	22
40051	1344
40085	315
40119	237
40520	846
40554	697
40589	619
41231	5
41265	87
41299	10
41333	4
41817	1252
41918	83
42425	124
42459	47
42595	27
42629	7
43146	1063
43214	71
43248	23
43650	97
43684	49
43752	442
44358	183
44793	512
45399	671
46031	25
46099	1010
46133	38
46626	468
47245	542
47817	207
47851	72
47920	1627
48515	6659
49708	734
49811	5335
50451	366
50933	4198
51001	162
51552	2151
53934	202
54139	54
54597	419
55206	55
55240	7
55308	5984
55342	352
55376	275
55812	805
55846	757
55880	622
55914	501
56373	4934
56407	167
56441	3
56475	4846
56509	7
56543	17
56577	11
57026	4252
57094	14
57128	1278
57196	475
57713	1825
58285	93
58319	44
58387	5
58421	14
58489	422
58914	12
58949	265
59486	1880
59554	22
59588	507
60082	56
60116	7
60150	17
60184	170
60218	122
60677	557
60711	509
60745	345
61367	4744
61401	4667
61435	4619
61469	1627
61503	1578
61537	318
61939	1128
61973	1065
62007	1017
62143	866
63116	2909
63150	3
63184	2826
63219	2762
63253	1112
63321	63
64365	982
64433	899
65508	445
66243	27
66277	22
66311	334
66345	286
66817	189
66851	54
66885	5
66919	58
66953	10
66988	3
67525	1501
67593	913
67627	562
68729	282
68763	234
69393	66
69427	17
71179	891
72380	2273
73146	136
74166	3935
74200	2863
74738	3464
74806	286
75344	74
75446	563
76018	972
76052	246
76086	82
76535	441
76569	393
76637	368
77201	136
77235	58
77269	10
77303	5
77337	72
77371	23
77773	314
77807	266
77841	203
77875	154
77909	106
77943	14
78415	4953
78449	4890
78483	3572
78518	3508
78552	1093
78586	1030
79089	4293
79721	559
80249	3205
80283	55
80891	33
80926	61
81028	17
81062	27
81096	94
81673	339
81707	290
81741	25
81775	208
82303	560
82337	988
82371	477
82875	31
82909	387
82977	189
83470	28
83538	494
83572	445
83606	368
83674	26
84110	2389
84144	2340
84178	2292
84212	22
84246	464
84718	6586
84752	1704
84786	1655
85956	211
86528	4718
86630	3534
87719	36
87753	164
87787	111
88314	724
88348	676
88451	602
89529	591
89563	529
90100	6
90135	14
90169	9
90203	1115
90237	13
90271	816
90696	175
90730	271
90764	525
91386	4
91420	100
91454	52
91488	3
92060	2259
92094	638
92162	253
92611	6
92645	29
92679	24
92713	5
92747	1558
93182	12
93250	910
93285	890
94454	3039
94488	33
94557	36
94992	135
95026	505
95564	25
95598	1867
96802	648
97476	3
97510	12
97544	252
97945	890
97980	163
98551	255
98585	207
98654	6429
99089	828
99123	30
99191	5
99259	96
99293	47
99695	253
99729	5
99763	111
99797	38
99831	31
99865	47
100290	666
100324	603
100392	420
100896	3
100930	12
100998	781
101032	732
101066	684
101526	195
102063	2977
102131	1913
102200	141
103299	716
103333	668
104020	10
104421	474
104455	426
104489	377
104558	207
105085	546
105119	498
105153	449
105187	5941
105221	352
105255	304
105657	5486
105759	796
105793	718
106228	254
106262	206
106871	3045
106905	2997
106939	2949
106973	1587
108188	358
109549	238
109984	726
110018	678
110086	451
110120	200
110154	51
110755	99
110789	51
110823	2
110857	170
110892	121
110926	58
111419	186
111453	108
111487	17
111521	11
112048	18
112082	13
112116	3774
112565	252
112633	169
113137	2738
113205	968
113307	837
114886	932
114920	205
115482	321
115618	171
116179	360
116213	240
30140	1
30174	8
30208	83
30242	24
30276	7
30310	57
30712	84
30746	25
30780	8
30814	34
30848	24
30882	7
30916	4
30950	23
31446	8
31480	15
31515	25
31548	21
31582	14
31616	81
31650	30
32052	32
32086	15
32121	11
32154	7
32188	2
32222	64
32647	60
32681	9
32715	101
32749	59
32784	7
32818	74
33219	1
33256	57
33290	6
33324	98
33358	56
33392	5
33817	1
33851	68
33885	17
33920	7
33954	10
33988	15
34484	24
34518	7
34552	76
34586	23
34620	6
34654	32
35055	20
35089	15
35123	8
35158	4
35192	13
35226	6
35651	94
35685	52
35719	1
35753	29
35787	34
35821	17
36222	3
36257	16
36291	11
36325	1
36359	1
36393	24
36794	54
36828	3
36862	95
36896	53
36931	1
36965	85
36999	34
37471	92
37505	33
37539	16
37575	81
37607	32
37641	23
38066	2
38100	61
38134	10
38169	101
38203	59
38237	8
38662	4
38696	79
38730	20
38764	3
38798	70
38832	19
39234	21
39268	4
39302	79
39336	20
39370	3
39404	53
39805	81
39839	22
39873	5
39907	80
39942	20
39976	3
40377	6
40411	81
40445	22
40479	5
40513	72
40547	21
40972	17
41009	89
41041	32
41075	15
41110	81
